"Diuron","Mecoprop","Terbutryn","Benzothiazol","Zn","Cu"
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324,9.88131291682493e-324
