"Source";"Konz_Cu";"Konz_Zn";"Konz_Benzothiazol";"Konz_Diuron";"Konz_Mecoprop";"Konz_Terbutryn"
"Dach";0.0742028893902389;0.192133851482923;2.12061566900383e-06;0;0.000663565185042272;0
"Strasse";0.188277777777778;0.573888888888889;0.00114214285714286;0;0;0
"Hof";0;0;2.12061566900383e-06;0;0;0
"Putzfassade";0;0;0;0.744739962193708;0;0.845211878073145
